Comparison,log2FoldChange,padj,Gene
SF vs NC,1.565503467,0.002715538,HIST1H2B7L4
SF vs NC,1.566504168,0.031198262,LOC124417901
SF vs NC,1.57140054,0.002015356,IFI27L2
SF vs NC,1.577181028,0.001379656,EMP1
SF vs NC,1.604705589,0.007358158,HIST1H46L6
SF vs NC,1.60691959,0.00318525,DDX60
SF vs NC,1.607094559,0.001639388,OASL
SF vs NC,1.630141812,0.000732005,VNN2
SF vs NC,1.634202173,0.014365726,AQP8
SF vs NC,1.638771128,0.007721494,IFI6
SF vs NC,1.643450103,0.016869537,XKR9
SF vs NC,1.666290828,0.006382656,GJB2
SF vs NC,1.679746725,0.000523222,TRANK1
SF vs NC,1.693464538,7.38E-05,CHST4
SF vs NC,1.694336449,0.000218239,LOC422993
SF vs NC,1.695600577,0.001552787,FCGBP
SF vs NC,1.700240419,0.010381141,HIST2H3A
SF vs NC,1.702126926,0.028515176,CHST9
SF vs NC,1.707315252,0.001269775,USP41
SF vs NC,1.764173892,0.00090887,SLC38A4
SF vs NC,1.771518329,0.005364787,LOC124417770
SF vs NC,1.783452073,0.041347917,CHRNB3
SF vs NC,1.7863089,0.001351551,SCNN1A
SF vs NC,1.792402205,0.001269775,MAL
SF vs NC,1.796337637,0.000266804,MX1
SF vs NC,1.802928709,0.022150727,LOC101751416
SF vs NC,1.827247614,0.000473451,PLACL2
SF vs NC,1.850514513,0.016588408,LOC101749795
SF vs NC,1.857364113,0.003595733,IFIT5
SF vs NC,1.85825893,0.002244702,SH3BGR
SF vs NC,1.859295255,0.018230649,LOC121107265
SF vs NC,1.859758353,0.007854804,OPRD1
SF vs NC,1.877051796,0.005963674,LOC396365
SF vs NC,1.883208229,0.000281142,LOC101750892
SF vs NC,1.901662629,0.000505962,LY6CLEL
SF vs NC,1.955028981,0.044922933,LOC121106625
SF vs NC,1.993736723,0.002476834,ADM2
SF vs NC,1.994858158,0.0006107,GPRC5A
SF vs NC,2.01423221,0.018691716,CYLY
SF vs NC,2.066464437,0.038940866,LOC121108711
SF vs NC,2.109014756,0.003568767,LOC121107663
SF vs NC,2.276640626,0.026721253,LOC112532301
SF vs NC,2.322510015,0.018140008,RNF222
SF vs NC,2.339408674,0.026721253,ACOD1L
SF vs NC,2.42764265,0.002015356,AVD
SF vs NC,2.435045733,0.00090887,SP6
SF vs NC,2.721889341,0.000610752,LYGL
SF vs NC,2.819089297,0.006800311,LOC121107664
SF vs NC,2.846664532,0.000236339,LYG2
SF vs NC,3.013439008,7.38E-05,RSAD2
SF vs NC,4.696901087,7.38E-05,LY6EL
